note_id,consultant_id,customer_id,assignment_id,note
NOTE_0001,CONS_100001,CUST_WAREHOUSE_5,ASSIGN_300003,Avoid back-to-back long shifts; watch fatigue risk.
NOTE_0002,CONS_100002,CUST_WAREHOUSE_9,ASSIGN_300008,Strong performance at CUST_WAREHOUSE_9; follows SOP closely.
NOTE_0003,CONS_100002,CUST_WAREHOUSE_8,NULL,Avoid back-to-back long shifts; watch fatigue risk.
NOTE_0004,CONS_100003,CUST_WAREHOUSE_7,ASSIGN_300014,Prefers morning shifts; communicate changes early.
NOTE_0005,CONS_100004,CUST_WAREHOUSE_8,ASSIGN_300017,Avoid back-to-back long shifts; watch fatigue risk.
NOTE_0006,CONS_100005,CUST_WAREHOUSE_7,ASSIGN_300021,New to CUST_WAREHOUSE_7; allow extra onboarding time.
NOTE_0007,CONS_100006,CUST_WAREHOUSE_4,ASSIGN_300027,Avoid back-to-back long shifts; watch fatigue risk.
NOTE_0008,CONS_100006,CUST_WAREHOUSE_10,NULL,Avoid back-to-back long shifts; watch fatigue risk.
NOTE_0009,CONS_100006,CUST_WAREHOUSE_2,ASSIGN_300026,Needs refresher on returns flow; pair with experienced team lead.
NOTE_0010,CONS_100007,CUST_WAREHOUSE_2,ASSIGN_300031,Needs refresher on inventory counts; pair with experienced team lead.
NOTE_0011,CONS_100008,CUST_WAREHOUSE_6,ASSIGN_300033,New to CUST_WAREHOUSE_6; allow extra onboarding time.
NOTE_0012,CONS_100008,CUST_WAREHOUSE_6,ASSIGN_300036,Avoid back-to-back long shifts; watch fatigue risk.
NOTE_0013,CONS_100009,CUST_WAREHOUSE_4,ASSIGN_300039,Prefers evening shifts; communicate changes early.
NOTE_0014,CONS_100010,CUST_WAREHOUSE_1,ASSIGN_300045,Prefers day shifts; communicate changes early.
NOTE_0015,CONS_100011,CUST_WAREHOUSE_2,ASSIGN_300050,Strong performance at CUST_WAREHOUSE_2; follows SOP closely.
NOTE_0016,CONS_100011,CUST_WAREHOUSE_9,ASSIGN_300051,Avoid back-to-back long shifts; watch fatigue risk.
NOTE_0017,CONS_100012,CUST_WAREHOUSE_10,NULL,Prefers evening shifts; communicate changes early.
NOTE_0018,CONS_100012,CUST_WAREHOUSE_7,ASSIGN_300058,Avoid back-to-back long shifts; watch fatigue risk.
NOTE_0019,CONS_100013,CUST_WAREHOUSE_1,ASSIGN_300063,Needs refresher on packing quality checks; pair with experienced team lead.
NOTE_0020,CONS_100014,CUST_WAREHOUSE_2,ASSIGN_300066,Works well with customer team; positive feedback noted.
NOTE_0021,CONS_100015,CUST_WAREHOUSE_1,ASSIGN_300073,Prefers day shifts; communicate changes early.
NOTE_0022,CONS_100016,CUST_WAREHOUSE_6,ASSIGN_300075,Prefers morning shifts; communicate changes early.
NOTE_0023,CONS_100017,CUST_WAREHOUSE_9,NULL,Strong performance at CUST_WAREHOUSE_9; follows SOP closely.
NOTE_0024,CONS_100017,CUST_WAREHOUSE_9,ASSIGN_300080,Good with pressure at CUST_WAREHOUSE_9; reliable on short notice.
NOTE_0025,CONS_100018,CUST_WAREHOUSE_6,ASSIGN_300084,Works well with customer team; positive feedback noted.
NOTE_0026,CONS_100019,CUST_WAREHOUSE_5,NULL,Works well with customer team; positive feedback noted.
NOTE_0027,CONS_100019,CUST_WAREHOUSE_1,NULL,Needs refresher on inventory counts; pair with experienced team lead.
NOTE_0028,CONS_100019,CUST_WAREHOUSE_6,NULL,Works well with customer team; positive feedback noted.
NOTE_0029,CONS_100020,CUST_WAREHOUSE_9,NULL,Avoid back-to-back long shifts; watch fatigue risk.
NOTE_0030,CONS_100020,CUST_WAREHOUSE_7,ASSIGN_300093,Good with pressure at CUST_WAREHOUSE_7; reliable on short notice.
NOTE_0031,CONS_100021,CUST_WAREHOUSE_8,ASSIGN_300097,Works well with customer team; positive feedback noted.
NOTE_0032,CONS_100021,CUST_WAREHOUSE_9,ASSIGN_300097,New to CUST_WAREHOUSE_9; allow extra onboarding time.
NOTE_0033,CONS_100022,CUST_WAREHOUSE_3,ASSIGN_300101,Works well with customer team; positive feedback noted.
NOTE_0034,CONS_100022,CUST_WAREHOUSE_6,ASSIGN_300100,Prefers day shifts; communicate changes early.
NOTE_0035,CONS_100022,CUST_WAREHOUSE_1,NULL,Good with pressure at CUST_WAREHOUSE_1; reliable on short notice.
NOTE_0036,CONS_100023,CUST_WAREHOUSE_5,ASSIGN_300105,Strong performance at CUST_WAREHOUSE_5; follows SOP closely.
NOTE_0037,CONS_100023,CUST_WAREHOUSE_1,NULL,Avoid back-to-back long shifts; watch fatigue risk.
NOTE_0038,CONS_100024,CUST_WAREHOUSE_10,ASSIGN_300110,Prefers evening shifts; communicate changes early.
NOTE_0039,CONS_100024,CUST_WAREHOUSE_6,ASSIGN_300112,Prefers evening shifts; communicate changes early.
NOTE_0040,CONS_100024,CUST_WAREHOUSE_8,NULL,Needs refresher on packing quality checks; pair with experienced team lead.
NOTE_0041,CONS_100025,CUST_WAREHOUSE_8,ASSIGN_300114,Prefers morning shifts; communicate changes early.
NOTE_0042,CONS_100025,CUST_WAREHOUSE_1,NULL,Good with pressure at CUST_WAREHOUSE_1; reliable on short notice.
NOTE_0043,CONS_100026,CUST_WAREHOUSE_2,ASSIGN_300121,New to CUST_WAREHOUSE_2; allow extra onboarding time.
NOTE_0044,CONS_100027,CUST_WAREHOUSE_8,NULL,Good with pressure at CUST_WAREHOUSE_8; reliable on short notice.
NOTE_0045,CONS_100027,CUST_WAREHOUSE_10,NULL,Good with pressure at CUST_WAREHOUSE_10; reliable on short notice.
